month,commits,additions,deletions,churn
2001-12,8,1914,46,1960
2002-01,117,90283,3126,93409
2002-02,39,2918,856,3774
2002-03,23,4943,129,5072
2002-04,55,8079,3734,11813
2002-05,17,435,167,602
2002-06,15,6423,2801,9224
2002-07,7,107,35,142
2002-08,14,573,393,966
2002-09,59,42043,14797,56840
2002-10,40,3978,1959,5937
2002-11,17,453,77,530
2002-12,5,216,41,257
2003-01,14,628,145,773
2003-02,21,562,122,684
2003-03,34,1276,332,1608
2003-04,5,218,17,235
2003-05,5,172,33,205
2003-06,2,7,7,14
2003-08,9,176,63,239
2003-09,27,1866,994,2860
2003-10,38,1582,1625,3207
2003-11,12,80,60,140
2003-12,15,209,114,323
2004-01,18,3797,138,3935
2004-02,71,2527,136139,138666
2004-03,50,471,163,634
2004-04,34,1340,137,1477
2004-05,33,1051,138,1189
2004-06,16,1610,99,1709
2004-08,2,40,21,61
2004-09,20,891,662,1553
2004-10,27,344,233,577
2004-11,38,2242,501,2743
2004-12,10,1019,687,1706
2005-01,11,131,114,245
2005-02,1,4,0,4
2005-03,12,294,118,412
2005-04,1,1346,0,1346
2005-05,4,51,48,99
2005-06,4,55,16,71
2005-07,3,46,24,70
2005-08,8,77,1,78
2005-09,143,175445,46928,222373
2005-10,255,14715,10649,25364
2005-11,134,38640,28409,67049
2005-12,194,15522,14011,29533
2006-01,265,15358,141037,156395
2006-02,135,7358,4061,11419
2006-03,134,8344,4233,12577
2006-04,137,4118,1997,6115
2006-05,86,2642,574,3216
2006-06,154,23957,12439,36396
2006-07,208,35259,208703,243962
2006-08,147,13071,7324,20395
2006-09,135,8506,4644,13150
2006-10,179,18503,8558,27061
2006-11,41,4978,2542,7520
2006-12,26,3846,2749,6595
2007-01,33,3912,3747,7659
2007-02,41,2421,1348,3769
2007-03,60,12764,7147,19911
2007-04,89,10075,7171,17246
2007-05,111,4873,3242,8115
2007-06,24,650,398,1048
2007-07,61,1653,1092,2745
2007-08,50,28366,25046,53412
2007-09,67,6106,3385,9491
2007-10,35,1077,928,2005
2007-11,34,4183,1397,5580
2007-12,98,15891,237886,253777
2008-01,82,3095,1101,4196
2008-02,61,5916,3937,9853
2008-03,115,4277,2913,7190
2008-04,164,16516,11260,27776
2008-05,100,20563,18953,39516
2008-06,70,9408,7136,16544
2008-07,165,7525,26470,33995
2008-08,119,105501,14346,119847
2008-09,110,3922,3501,7423
2008-10,49,23872,7694,31566
2008-11,136,8524,16342,24866
2008-12,133,3338,2700,6038
2009-01,49,5608,535,6143
2009-02,146,14608,9698,24306
2009-03,242,27123,6840,33963
2009-04,103,49332,32687,82019
2009-05,71,5232,6817,12049
2009-06,56,8393,4373,12766
2009-07,183,6975,2609,9584
2009-08,80,10051,5658,15709
2009-09,71,2332,1868,4200
2009-10,190,23973,11650,35623
2009-11,178,23561,4014,27575
2009-12,190,9185,5002,14187
2010-01,40,738,450,1188
2010-02,175,14500,10059,24559
2010-03,40,2844,2754,5598
2010-04,41,881,413,1294
2010-05,74,3607,2504,6111
2010-06,18,1974,148,2122
2010-07,63,3268,2241,5509
2010-08,50,2969,707,3676
2010-09,37,731,2108,2839
2010-10,48,10629,10193,20822
2010-11,33,936,373,1309
2010-12,27,5671,1402,7073
2011-01,182,45001,23275,68276
2011-02,46,5769,2655,8424
2011-03,161,27282,18119,45401
2011-04,87,2554,1594,4148
2011-05,49,7425,3675,11100
2011-06,127,16908,7916,24824
2011-07,120,18116,13915,32031
2011-08,267,30147,11895,42042
2011-09,17,260,126,386
2011-10,44,1164,475,1639
2011-11,3,55,8,63
2011-12,22,12839,10798,23637
2012-01,61,12430,7440,19870
2012-02,72,5724,4578,10302
2012-03,76,6693,5395,12088
2012-04,62,6698,4725,11423
2012-05,54,2296,1337,3633
2012-06,58,3013,12549,15562
2012-07,74,13726,12327,26053
2012-08,20,172,54,226
2012-09,59,9088,8359,17447
2012-10,41,700,435,1135
2012-11,59,585,304,889
2012-12,68,5998,5229,11227
2013-01,64,964,2752,3716
2013-02,47,832,532,1364
2013-03,59,8411,6256,14667
2013-04,211,172020,86484,258504
2013-05,112,10121,7250,17371
2013-06,121,7273,3588,10861
2013-07,50,1128,5420,6548
2013-08,172,16909,11640,28549
2013-09,102,4391,14805,19196
2013-10,91,3971,6105,10076
2013-11,52,1216,697,1913
2013-12,39,874,283,1157
2014-01,78,11795,11731,23526
2014-02,161,13382,9433,22815
2014-03,149,13515,91851,105366
2014-04,41,3125,29723,32848
2014-05,88,3460,5158,8618
2014-06,47,1011,467,1478
2014-07,87,3562,2404,5966
2014-08,38,563,261,824
2014-09,79,3986,3262,7248
2014-10,57,1474,960,2434
2014-11,52,1490,981,2471
2014-12,34,495,253,748
2015-01,73,3557,1551,5108
2015-02,68,3548,1544,5092
2015-03,57,2056,1143,3199
2015-04,44,1164,615,1779
2015-05,57,2120,664,2784
2015-06,93,4053,1842,5895
2015-07,61,11617,9966,21583
2015-08,88,5465,1734,7199
2015-09,48,1433,834,2267
2015-10,113,4006,1883,5889
2015-11,51,927,1008,1935
2015-12,82,1600,1064,2664
2016-01,180,6359,3209,9568
2016-02,99,2498,1399,3897
2016-03,61,2296,1058,3354
2016-04,34,1005,659,1664
2016-05,47,1014,386,1400
2016-06,46,1496,587,2083
2016-07,26,503,364,867
2016-08,34,1684,478,2162
2016-09,66,4994,1730,6724
2016-10,70,1678,497,2175
